"ID","INCOME_CONTACT_ID","INCOME_START_DATE","INCOME_END_DATE","INCOME_CURRENCY","INCOME_AMOUNT","INCOME_PLEDGE_PERCENTAGE","STATUS"
"a004E000007xQpJQAU","376","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","18000","10","Item Created"
"a004E000007xQpKQAU","376","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","18000","10","Item Created"
"a004E000007xQpLQAU","376","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","18000","10","Item Created"
"a004E000007xQpMQAU","376","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","32360","10","Item Created"
"a004E000007xQpNQAU","377","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","110500","10","Item Created"
"a004E000007xQpOQAU","377","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","131594.4","10","Item Created"
"a004E000007xQpPQAU","377","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","66741.38","10","Item Created"
"a004E000007xQpQQAU","377","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","66741.38","10","Item Created"
"a004E000007xQpRQAU","380","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","21001.96","15","Item Created"
"a004E000007xQpSQAU","380","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","27713","15","Item Created"
"a004E000007xQpTQAU","380","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","7470","15","Item Created"
"a004E000007xQpUQAU","380","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","16000","15","Item Created"
"a004E000007xQpVQAU","381","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","111600","10","Item Created"
"a004E000007xQpWQAU","381","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","115000","10","Item Created"
"a004E000007xQpXQAU","381","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","118000","10","Item Created"
"a004E000007xQpYQAU","381","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","101770","10","Item Created"
"a004E000007xQpZQAU","381","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","SEK","684000","10","Item Created"
"a004E000007xQpaQAE","381","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","SEK","650000","10","Item Created"
"a004E000007xQpbQAE","383","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","110000","15","Item Created"
"a004E000007xQpcQAE","383","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","170000","15","Item Created"
"a004E000007xQpdQAE","383","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","150000","15","Item Created"
"a004E000007xQpeQAE","383","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","170000","15","Item Created"
"a004E000007xQpfQAE","383","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","185000","15","Item Created"
"a004E000007xQpgQAE","383","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","USD","140000","15","Item Created"
"a004E000007xQphQAE","384","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","50000","10","Item Created"
"a004E000007xQpiQAE","384","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","50000","10","Item Created"
"a004E000007xQpjQAE","386","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","107514.88","10","Item Created"
"a004E000007xQpkQAE","386","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","110264.61","10","Item Created"
"a004E000007xQplQAE","386","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","112339.04","10","Item Created"
"a004E000007xQpmQAE","386","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","120079.2","10","Item Created"
"a004E000007xQpnQAE","387","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","16500","10","Item Created"
"a004E000007xQpoQAE","387","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","1","10","Item Created"
"a004E000007xQppQAE","387","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","32400","10","Item Created"
"a004E000007xQpqQAE","387","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","80000","10","Item Created"
"a004E000007xQprQAE","387","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","70000","10","Item Created"
"a004E000007xQpsQAE","390","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","6000","10","Item Created"
"a004E000007xQptQAE","390","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","1","10","Item Created"
"a004E000007xQpuQAE","390","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","1","10","Item Created"
