"INCOME_CONTACT_ID","INCOME_START_DATE","INCOME_END_DATE","INCOME_CURRENCY","INCOME_AMOUNT","INCOME_PLEDGE_PERCENTAGE","ERROR"
"7832","2011-04-05T23:00:00.000Z","2012-04-04T23:00:00.000Z","GBP","39417","","Pledge percent cannot be less than 0% or more than 99%"
"7832","2012-04-05T23:00:00.000Z","2013-04-04T23:00:00.000Z","GBP","58120","","Pledge percent cannot be less than 0% or more than 99%"
"7832","2013-04-05T23:00:00.000Z","2014-04-04T23:00:00.000Z","GBP","51929","","Pledge percent cannot be less than 0% or more than 99%"
"7832","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","62415","","Pledge percent cannot be less than 0% or more than 99%"
"7916","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","24000","","Pledge percent cannot be less than 0% or more than 99%"
"8031","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","49609","","Pledge percent cannot be less than 0% or more than 99%"
"8031","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","63946","","Pledge percent cannot be less than 0% or more than 99%"
"8057","2013-09-30T23:00:00.000Z","2014-09-29T23:00:00.000Z","GBP","18000","","Pledge percent cannot be less than 0% or more than 99%"
"8057","2014-09-30T23:00:00.000Z","2015-09-29T23:00:00.000Z","GBP","18000","","Pledge percent cannot be less than 0% or more than 99%"
"8057","2015-09-30T23:00:00.000Z","2016-09-29T23:00:00.000Z","GBP","18000","","Pledge percent cannot be less than 0% or more than 99%"
"8078","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","166640","","Pledge percent cannot be less than 0% or more than 99%"
"8078","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","58337","","Pledge percent cannot be less than 0% or more than 99%"
"8156","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","AUD","3000","","Pledge percent cannot be less than 0% or more than 99%"
"8181","2014-06-30T23:00:00.000Z","2015-06-29T23:00:00.000Z","AUD","60000","","Pledge percent cannot be less than 0% or more than 99%"
"8181","2015-06-30T23:00:00.000Z","2016-06-29T23:00:00.000Z","AUD","60000","","Pledge percent cannot be less than 0% or more than 99%"
"8206","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","720","","Pledge percent cannot be less than 0% or more than 99%"
"8206","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","720","","Pledge percent cannot be less than 0% or more than 99%"
"8247","2012-09-19T23:00:00.000Z","2013-09-18T23:00:00.000Z","CHF","16000","","Pledge percent cannot be less than 0% or more than 99%"
"8247","2013-09-19T23:00:00.000Z","2014-09-18T23:00:00.000Z","GBP","19500","","Pledge percent cannot be less than 0% or more than 99%"
"8247","2014-09-19T23:00:00.000Z","2015-09-18T23:00:00.000Z","GBP","19500","","Pledge percent cannot be less than 0% or more than 99%"
"8247","2015-09-19T23:00:00.000Z","2016-09-18T23:00:00.000Z","GBP","20000","","Pledge percent cannot be less than 0% or more than 99%"
"8387","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","AUD","31000","","Pledge percent cannot be less than 0% or more than 99%"
"8417","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","CAD","70721","","Pledge percent cannot be less than 0% or more than 99%"
"8417","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","CAD","96735","","Pledge percent cannot be less than 0% or more than 99%"
"8445","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","12000","","Pledge percent cannot be less than 0% or more than 99%"
"8426","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","AUD","50000","","Pledge percent cannot be less than 0% or more than 99%"
"8515","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","EUR","62322","","Pledge percent cannot be less than 0% or more than 99%"
"8557","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","30000","","Pledge percent cannot be less than 0% or more than 99%"
"8584","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","73000","","Pledge percent cannot be less than 0% or more than 99%"
"8637","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","13468","","Pledge percent cannot be less than 0% or more than 99%"
"8637","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","15718.72","","Pledge percent cannot be less than 0% or more than 99%"
"8637","2016-04-05T23:00:00.000Z","2017-04-04T23:00:00.000Z","GBP","16000","","Pledge percent cannot be less than 0% or more than 99%"
"8639","2009-06-30T23:00:00.000Z","2010-06-29T23:00:00.000Z","AUD","66000","","Pledge percent cannot be less than 0% or more than 99%"
"8639","2010-06-30T23:00:00.000Z","2011-06-29T23:00:00.000Z","AUD","66000","","Pledge percent cannot be less than 0% or more than 99%"
"8639","2011-06-30T23:00:00.000Z","2012-06-29T23:00:00.000Z","AUD","66000","","Pledge percent cannot be less than 0% or more than 99%"
"8639","2012-06-30T23:00:00.000Z","2013-06-29T23:00:00.000Z","AUD","66000","","Pledge percent cannot be less than 0% or more than 99%"
"8639","2013-06-30T23:00:00.000Z","2014-06-29T23:00:00.000Z","AUD","66000","","Pledge percent cannot be less than 0% or more than 99%"
"8639","2014-06-30T23:00:00.000Z","2015-06-29T23:00:00.000Z","AUD","66000","","Pledge percent cannot be less than 0% or more than 99%"
"8639","2015-06-30T23:00:00.000Z","2016-06-29T23:00:00.000Z","AUD","66000","","Pledge percent cannot be less than 0% or more than 99%"
"8666","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","37000","","Pledge percent cannot be less than 0% or more than 99%"
"8733","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","42500","","Pledge percent cannot be less than 0% or more than 99%"
"8733","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","43500","","Pledge percent cannot be less than 0% or more than 99%"
"8735","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","2500","","Pledge percent cannot be less than 0% or more than 99%"
"8762","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","24000","","Pledge percent cannot be less than 0% or more than 99%"
"8779","2009-01-01T00:00:00.000Z","2009-12-31T00:00:00.000Z","GBP","15202","","Pledge percent cannot be less than 0% or more than 99%"
"8779","2010-01-01T00:00:00.000Z","2010-12-31T00:00:00.000Z","GBP","18034","","Pledge percent cannot be less than 0% or more than 99%"
"8779","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","GBP","24705","","Pledge percent cannot be less than 0% or more than 99%"
"8779","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","GBP","27778","","Pledge percent cannot be less than 0% or more than 99%"
"8779","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","38000","","Pledge percent cannot be less than 0% or more than 99%"
"8779","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","39000","","Pledge percent cannot be less than 0% or more than 99%"
"8779","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","51000","","Pledge percent cannot be less than 0% or more than 99%"
"8798","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","20000","","Pledge percent cannot be less than 0% or more than 99%"
